city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
cd,现代 朗动 2012款 1.6L 自动时尚型,现代,朗动,自动时尚型,2014,6.0,1.6L,5.96,6.07,到店服务,严选车
cd,福特 福克斯 2015款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2016,6.4,1.6L,7.35,7.45,到店服务,严选车
cd,海马S7 2013款 2.0L 手动智尚型,海马S7,,手动智尚型,2014,5.0,2.0L,3.57,3.63,到店服务,严选车
cd,现代 瑞奕 2016款 1.4L 自动领先型GLX,现代,瑞奕,自动领先型GLX,2016,1.9,1.4L,5.26,5.35,到店服务,严选车
cd,本田 歌诗图 2012款 2.4L 豪华版,本田,歌诗图,豪华版,2013,12.0,2.4L,10.69,11,到店服务,严选车
cd,北汽绅宝 绅宝X25 2015款 1.5L 自动精英型,北汽绅宝,绅宝X25,自动精英型,2016,1.6,1.5L,3.76,3.99,到店服务,严选车
cd,哈弗H6 2014款 运动版 1.5T 手动两驱精英型,哈弗H6,,手动两驱精英型,2014,5.9,1.5T,5.35,5.44,到店服务,严选车
cd,长安 悦翔V7 2016款 1.0T 手动劲驰新锐型,长安,悦翔V7,手动劲驰新锐型,2017,1.9,1.0T,4.36,7.00,到店服务,严选车
cd,福特 蒙迪欧 2017款 EcoBoost 180 时尚型,福特,蒙迪欧,,2016,2.4,,13.31,20.90,店内直卖,严选车
cd,荣威350 2014款 1.5L 自动迅悦版,荣威350,,自动迅悦版,2015,3.5,1.5L,4.15,10.80,到店服务,严选车
cd,本田 雅阁 2011款 2.4L LX,本田,雅阁,LX,2011,12.6,2.4L,9.05,9.36,到店服务,严选车
cd,现代 索纳塔九 2018款 1.6T GLS智能型,现代,索纳塔九,GLS智能型,2019,100公里,1.6T,14.59,14.95,到店服务,严选车
cd,雪铁龙 世嘉 2012款 三厢 1.6L 手动品尚型,雪铁龙,世嘉,手动品尚型,2012,5.4,1.6L,3.22,3.31,到店服务,严选车
cd,日产 逍客 2012款 2.0XL 火 6MT 2WD,日产,逍客,,2015,5.0,,7.45,7.56,到店服务,严选车
cd,福特 福克斯 2015款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2015,6.8,1.6L,6.55,14.80,到店服务,严选车
cd,大众 速腾 2018款 1.6L 手动舒适型,大众,速腾,手动舒适型,2018,3.0,1.6L,9.69,14.70,到店服务,严选车
cd,长安 悦翔V7 2016款 1.6L 自动乐趣型 国IV,长安,悦翔V7,自动乐趣型 国IV,2016,4.0,1.6L,4.91,9.40,到店服务,严选车
cd,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,福特,蒙迪欧,GTDi180时尚型,2016,7.1,1.5L,11.24,11.57,到店服务,严选车
cd,福特 翼虎 2015款 2.0L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2015,3.4,2.0L,13.05,13.44,到店服务,严选车
cd,福特 翼虎 2013款 2.0L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2014,2.0,2.0L,13.11,13.44,到店服务,严选车
cd,本田 缤智 2015款 1.5L CVT两驱舒适型,本田,缤智,CVT两驱舒适型,2016,3.4,1.5L,10.21,10.46,到店服务,严选车
cd,现代 朗动 2013款 1.6L 自动领先型,现代,朗动,自动领先型,2014,6.0,1.6L,5.69,5.77,到店服务,严选车
cd,马自达 昂克赛拉 2016款 三厢 1.5L 自动舒适型,马自达,昂克赛拉,自动舒适型,2016,2.8,1.5L,9.04,13.70,店内直卖,严选车
cd,福特 福克斯 2012款 两厢 1.6L 手动风尚型,福特,福克斯,手动风尚型,2013,11.3,1.6L,4.63,4.71,到店服务,严选车
cd,荣威350 2011款 350S 1.5L 自动迅达版,荣威350,,自动迅达版,2012,7.7,1.5L,3.02,10.70,到店服务,严选车
cd,雪铁龙C5 2012款 2.0L 自动尊享型,雪铁龙C5,,自动尊享型,2012,7.1,2.0L,5.64,20.60,到店服务,严选车
cd,大众 朗逸 2013款 改款经典 1.6L 手动风尚版,大众,朗逸,手动风尚版,2016,5.8,1.6L,6.26,6.41,到店服务,严选车
cd,大众 朗逸 2008款 1.6L 自动品雅版,大众,朗逸,自动品雅版,2010,10.6,1.6L,4.29,14.60,到店服务,严选车
cd,日产 阳光 2011款 1.5XE CVT舒适版,日产,阳光,,2012,3.3,,3.94,10.10,到店服务,严选车
cd,马自达3 2007款 1.6L 手动标准型,马自达3,,手动标准型,2009,8.8,1.6L,3.15,12.80,到店服务,严选车
cd,标致308 2013款 1.6L 手动优尚型,标致308,,手动优尚型,2014,5.8,1.6L,4.25,11.50,到店服务,严选车
cd,福特 锐界 2016款 EcoBoost 245 两驱豪锐型 7座,福特,锐界,,2017,4.6,,20.15,20.65,到店服务,严选车
cd,大众 宝来 2017款 1.6L 自动舒适型,大众,宝来,自动舒适型,2017,4.7,1.6L,8.81,14.30,店内直卖,严选车
cd,标致2008 2014款 1.6L 自动时尚版,标致2008,,自动时尚版,2014,3.8,1.6L,5.95,13.20,到店服务,严选车
cd,长安 奔奔 2015款 1.4L IMT尊贵型 国IV,长安,奔奔,IMT尊贵型 国IV,2017,1.5,1.4L,3.34,6.20,到店服务,严选车
cd,福特 福克斯 2012款 三厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2015,8.3,1.6L,5.69,5.92,到店服务,严选车
cd,哈弗H6 2011款 2.0L 手动两驱精英型,哈弗H6,,手动两驱精英型,2012,8.4,2.0L,3.32,3.41,到店服务,严选车
cd,现代 瑞奕 2014款 1.4L 自动GLX,现代,瑞奕,自动GLX,2015,2.0,1.4L,4.61,9.50,到店服务,严选车
cd,雪铁龙 世嘉 2013款 三厢 1.6L 手动品尚型,雪铁龙,世嘉,手动品尚型,2015,7.1,1.6L,4.44,4.51,到店服务,严选车
cd,日产 轩逸 2016款 1.6XV CVT智享版,日产,轩逸,,2018,1.8,,10.50,15.20,,非严选
cd,铃木 天语 SX4 2009款 两厢 1.6L 自动运动型,铃木,天语,自动运动型,2010,7.5,1.6L,3.31,12.90,到店服务,严选车
cd,福特 福克斯 2012款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2015,7.0,1.6L,6.63,6.89,到店服务,严选车
cd,福特 福睿斯 2017款 改款 1.5L 自动舒适型,福特,福睿斯,自动舒适型,2017,1.6,1.5L,7.22,7.39,到店服务,严选车
cd,雪佛兰 迈锐宝 2014款 2.4L 自动豪华版,雪佛兰,迈锐宝,自动豪华版,2014,4.8,2.4L,9.30,9.47,到店服务,严选车
cd,福特 福克斯 2012款 三厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2014,6.6,1.6L,6.02,14.20,到店服务,严选车
cd,大众POLO 2014款 1.4L 自动舒适版,大众POLO,,自动舒适版,2016,2.9,1.4L,6.27,10.70,到店服务,严选车
cd,别克 凯越 2013款 1.5L 手动尊享型,别克,凯越,手动尊享型,2014,7.5,1.5L,4.19,11.50,到店服务,严选车
cd,MG 锐腾 2015款 2.0TGI TST豪华版,MG,锐腾,GI TST豪华版,2016,2.9,2.0T,8.10,8.24,到店服务,严选车
cd,大众POLO 2013款 1.4L 自动舒适版,大众POLO,,自动舒适版,2014,5.0,1.4L,5.39,11.60,店内直卖,严选车
cd,雪佛兰 创酷 2014款 1.4T 自动两驱豪华型,雪佛兰,创酷,自动两驱豪华型,2014,10.9,1.4T,6.29,14.50,到店服务,严选车
cd,比亚迪S7 2015款 1.5T 手动尊贵型,比亚迪S7,,手动尊贵型,2015,4.8,1.5T,5.40,12.70,到店服务,严选车
cd,宝骏560 2015款 1.8L 手动豪华型,宝骏560,,手动豪华型,2015,2.8,1.8L,5.02,9.70,到店服务,严选车
cd,纳智捷 大7 SUV 2013款 锋芒限量版 2.2T 四驱智尊型,纳智捷,大7,四驱智尊型,2013,9.4,2.2T,6.24,27.00,到店服务,严选车
cd,海马骑士 2012款 2.0L 自动典雅风尚型,海马骑士,,自动典雅风尚型,2012,11.6,2.0L,3.28,3.37,到店服务,严选车
cd,长安CS75 2014款 1.8T 自动精英型 国V,长安CS75,,自动精英型 国V,2014,4.0,1.8T,6.90,14.80,到店服务,严选车
cd,别克 君越 2013款 2.4L SIDI精英舒适型,别克,君越,SIDI精英舒适型,2015,2.2,2.4L,14.50,27.80,,非严选
cd,福特 福克斯 2012款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2013,6.8,1.6L,5.74,5.9,到店服务,严选车
cd,起亚 智跑 2014款 2.0L 自动两驱版GLS,起亚,智跑,自动两驱版GLS,2014,4.9,2.0L,8.90,20.90,到店服务,非严选
cd,大众 迈腾 2018款 280TSI DSG 越享型,大众,迈腾,DSG 越享型,2018,1.1,280TSI,16.48,21.50,到店服务,严选车
cd,日产 奇骏 2010款 2.5L CVT旗舰版 4WD,日产,奇骏,CVT旗舰版 4WD,2011,8.6,2.5L,8.62,28.10,到店服务,严选车
cd,长安CS75 2014款 1.8T 自动精英型 国V,长安CS75,,自动精英型 国V,2015,5.1,1.8T,7.14,7.27,到店服务,严选车
cd,别克 君越 2010款 2.4L豪华版,别克,君越,豪华版,2010,13.4,2.4L,7.07,7.27,到店服务,严选车
cd,别克 凯越 2013款 1.5L 自动经典型,别克,凯越,自动经典型,2014,5.3,1.5L,4.52,11.10,到店服务,严选车
cd,福特 蒙迪欧-致胜 2011款 2.3L 时尚型,福特,蒙迪欧-致胜,时尚型,2013,4.5,2.3L,6.84,6.96,到店服务,严选车
cd,斯柯达 明锐 2015款 1.6L 自动逸杰版,斯柯达,明锐,自动逸杰版,2014,6.0,1.6L,6.64,15.40,到店服务,严选车
cd,宝马1系 2015款 118i 领先型(进口),宝马1系,,,2015,3.2,,13.95,27.80,到店服务,严选车
cd,别克 英朗 2017款 15N 自动进取型,别克,英朗,,2017,2.3,,7.46,13.00,到店服务,严选车
