city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
gz,福特 翼搏 2013款 1.5L 自动风尚型,福特,翼搏,自动风尚型,2015,5.6,1.5L,5.63,5.84,到店服务,严选车
gz,传祺GS5 2012款 2.0L 自动两驱周年纪念版,传祺GS5,,自动两驱周年纪念版,2014,4.0,2.0L,5.82,17.00,到店服务,严选车
gz,传祺GS5 2013款 1.8T 自动两驱精英版,传祺GS5,,自动两驱精英版,2014,7.2,1.8T,5.90,17.80,到店服务,严选车
gz,宝马3系 2010款 318i 领先型,宝马3系,,,2010,15.1,,8.40,31.80,到店服务,非严选
gz,丰田 威驰 2014款 1.5L 自动智臻版,丰田,威驰,自动智臻版,2016,3.9,1.5L,6.22,9.50,到店服务,严选车
gz,丰田 雷凌 2014款 1.8GS CVT精英版,丰田,雷凌,,2015,3.7,,9.09,9.32,到店服务,严选车
gz,传祺GS4 2015款 200T G-DCT豪华版,传祺GS4,,,2015,5.9,,7.24,14.80,到店服务,严选车
gz,宝马5系 2014款 525Li 豪华设计套装,宝马5系,,,2015,5.2,,28.00,54.20,,非严选
gz,奇瑞 艾瑞泽5 2016款 1.5L CVT领潮版,奇瑞,艾瑞泽5,CVT领潮版,2016,7.6,1.5L,4.50,4.59,到店服务,严选车
gz,大众 宝来 2016款 1.6L 自动舒适型,大众,宝来,自动舒适型,2016,3.2,1.6L,8.26,14.30,到店服务,严选车
gz,大众 凌渡 2015款 280TSI DSG舒适版,大众,凌渡,DSG舒适版,2015,9.2,280TSI,10.29,20.00,到店服务,严选车
gz,大众 速腾 2012款 1.6L 自动时尚型,大众,速腾,自动时尚型,2012,9.6,1.6L,5.96,15.60,到店服务,严选车
gz,江淮 瑞风S3 2014款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2015,4.5,1.5L,3.63,8.10,到店服务,严选车
gz,宝骏560 2016款 1.8L 手动精英型,宝骏560,,手动精英型,2016,0.8,1.8L,6.00,8.40,到店服务,非严选
gz,雪佛兰 迈锐宝 2014款 2.0L 自动舒适版,雪佛兰,迈锐宝,自动舒适版,2015,6.0,2.0L,8.11,8.33,到店服务,严选车
gz,本田 锋范 2015款 1.5L CVT舒适版,本田,锋范,CVT舒适版,2015,4.0,1.5L,6.40,6.63,到店服务,严选车
gz,哈弗H6 2016款 升级版 1.5T 手动两驱精英型,哈弗H6,,手动两驱精英型,2016,1.8,1.5T,6.16,6.37,到店服务,严选车
gz,现代 瑞纳 2014款 1.4L 自动领先型GLX,现代,瑞纳,自动领先型GLX,2014,7.0,1.4L,4.86,5.02,到店服务,严选车
gz,荣威350 2015款 1.5L 手动豪华天窗版,荣威350,,手动豪华天窗版,2016,2.7,1.5L,4.50,8.50,到店服务,非严选
gz,福特 福睿斯 2015款 1.5L 自动舒适型,福特,福睿斯,自动舒适型,2016,3.2,1.5L,6.50,6.6,到店服务,严选车
gz,比亚迪 秦 2015款 1.5T 双冠旗舰Plus版,比亚迪,秦,双冠旗舰Plus版,2017,6.1,1.5T,7.60,23.90,,非严选
gz,福特 翼虎 2013款 2.0L GTDi 四驱运动型,福特,翼虎,GTDi 四驱运动型,2013,6.2,2.0L,10.23,10.51,到店服务,严选车
gz,现代 名图 2014款 1.8L 自动智能型GLS,现代,名图,自动智能型GLS,2014,8.6,1.8L,7.65,16.30,到店服务,严选车
gz,丰田 汉兰达 2012款 2.7L 两驱7座豪华版,丰田,汉兰达,两驱7座豪华版,2013,5.3,2.7L,18.00,32.40,到店服务,非严选
gz,福特 福克斯 2013款 两厢经典 1.8L 自动百万纪念版,福特,福克斯,自动百万纪念版,2013,8.0,1.8L,4.30,4.42,到店服务,严选车
gz,别克 君越 2014款 2.0T SIDI 智享旗舰型,别克,君越,SIDI 智享旗舰型,2015,4.3,2.0T,12.23,12.55,店内直卖,严选车
gz,奇瑞E3 2015款 1.5L 手动智尚型,奇瑞E3,,手动智尚型,2016,4.5,1.5L,2.95,6.60,到店服务,严选车
gz,江淮 瑞风S2 2015款 1.5L 手动豪华智能型,江淮,瑞风S2,手动豪华智能型,2016,4.2,1.5L,3.46,7.40,到店服务,严选车
gz,纳智捷 纳5 2013款 1.8T 自动尊贵型,纳智捷,纳5,自动尊贵型,2013,7.4,1.8T,4.69,15.80,到店服务,严选车
gz,日产 阳光 2015款 1.5XE CVT舒适版,日产,阳光,,2016,2.4,,6.00,9.70,到店服务,非严选
gz,别克 英朗 2012款 XT 1.6L 自动时尚版,别克,英朗,自动时尚版,2012,6.4,1.6L,5.38,16.30,到店服务,严选车
gz,起亚K3 2013款 1.6L 自动GLS,起亚K3,,自动GLS,2013,7.4,1.6L,5.44,5.74,到店服务,严选车
gz,大众 凌渡 2015款 230TSI DSG风尚版,大众,凌渡,DSG风尚版,2015,4.9,230TSI,9.80,10.16,到店服务,严选车
gz,本田 凌派 2013款 1.8L 自动豪华版,本田,凌派,自动豪华版,2013,9.6,1.8L,7.00,14.60,到店服务,非严选
