city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sh,起亚K2 2012款 三厢 1.4L MT GLS纪念版,起亚K2,,MT GLS纪念版,2014,4.4,1.4L,3.51,3.56,到店服务,严选车
sh,雪佛兰 科鲁兹 2012款 1.8L SE AT,雪佛兰,科鲁兹,SE AT,2012,10.7,1.8L,3.92,4.07,到店服务,严选车
sh,别克 君威 2010款 2.0L 世博版,别克,君威,世博版,2011,4.1,2.0L,6.83,7.07,到店服务,严选车
sh,福特 翼虎 2013款 1.6L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2013,4.8,1.6L,10.17,10.3,到店服务,严选车
sh,标致3008 2013款 2.0L 自动潮流版,标致3008,,自动潮流版,2014,6.0,2.0L,7.88,8,到店服务,严选车
sh,丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,丰田,YARiS,,2018,0.7,,7.00,9.30,到店服务,非严选
sh,起亚K5 2011款 2.0L 自动DLX,起亚K5,,自动DLX,2012,12.7,2.0L,6.60,20.50,到店服务,非严选
sh,别克 凯越 2015款 1.5L 自动经典型,别克,凯越,自动经典型,2016,2.1,1.5L,5.30,10.00,到店服务,非严选
sh,福特 福克斯 2012款 三厢 1.6L 自动尊贵型,福特,福克斯,自动尊贵型,2013,8.2,1.6L,5.50,16.80,到店服务,非严选
sh,福特 嘉年华 2013款 两厢 1.5L 自动时尚型,福特,嘉年华,自动时尚型,2013,8.1,1.5L,4.00,10.70,到店服务,非严选
sh,福特 翼虎 2015款 1.5L GTDi 四驱精英型,福特,翼虎,GTDi 四驱精英型,2015,9.3,1.5L,11.00,11.44,到店服务,严选车
sh,大众 途观 2010款 2.0TSI 自动四驱菁英版,大众,途观,SI 自动四驱菁英版,2011,13.1,2.0T,9.75,10.14,到店服务,严选车
sh,福特 翼虎 2013款 2.0L GTDi 四驱尊贵型,福特,翼虎,GTDi 四驱尊贵型,2014,6.1,2.0L,11.46,11.87,到店服务,严选车
